id,imdb_id,original_title,title,genres,release_date,budget,revenue,popularity,vote_average,vote_count,runtime
70008,tt1458915,Tactical Force,Tactical Force,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2011-08-09,8400000,0,7.878,5.4,82,91
338544,tt4572820,For the Love of Spock,For the Love of Spock,"[{'id': 99, 'name': 'Documentary'}]",2016-09-09,0,0,7.878,7.5,116,105
567145,tt9315418,Free Rein: The Twelve Neighs of Christmas,Free Rein: The Twelve Neighs of Christmas,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",2018-12-07,0,0,7.879,6.9,78,58
496212,tt7158686,No dormirás,You Shall Not Sleep,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2018-01-11,0,0,7.885,5.5,108,106
219572,tt2599716,警察故事2013,Police Story: Lockdown,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2013-12-24,0,81170000,7.886,6.1,230,108
72391,tt1704614,Marley & Me: The Puppy Years,Marley & Me: The Puppy Years,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2011-06-01,0,0,7.828,5.6,110,86
468198,tt7063210,The Place,The Place,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",2017-11-04,0,0,7.828,7.1,946,105
611291,tt10545076,브링 더 소울: 더 무비,Bring the Soul: The Movie,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",2019-08-07,0,24,7.83,9.2,262,105
411736,tt5973626,Batman: Return of the Caped Crusaders,Batman: Return of the Caped Crusaders,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}]",2016-10-08,3500000,0,7.831,6.4,139,78
235046,tt1876283,Darkroom,Darkroom,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",2013-03-10,0,0,7.833,3.8,26,81
332270,tt4084744,Битва за Севастополь,Battle for Sevastopol,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",2015-04-02,5000000,0,7.833,7.2,278,110
622386,tt10588332,Tiffany + Chucky,Tiffany + Chucky,"[{'id': 27, 'name': 'Horror'}]",2019-07-19,0,0,7.833,8.3,3,12
242452,tt3404140,변호인,The Attorney,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",2013-12-18,0,0,7.834,7.5,104,127
431185,tt4052050,He's Out There,He's Out There,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2018-10-25,0,0,7.836,5.8,204,89
311539,tt3688406,A Christmas Horror Story,A Christmas Horror Story,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",2015-07-20,0,0,7.837,5.7,211,99
408381,tt4711924,Monolith,Monolith,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2016-05-12,0,0,7.837,5.1,277,81
164052,tt1772398,The Strange Thing About the Johnsons,The Strange Thing About the Johnsons,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2011-01-22,0,0,7.84,6.7,103,28
46829,tt1423894,Barney's Version,Barney's Version,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2010-10-26,30000000,8454301,7.843,7.1,313,134
127501,tt2082197,बर्फी!,Barfi!,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2012-09-13,4437508,2804874,7.843,7.5,216,151
291413,tt3612320,Within,Within,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2016-10-18,0,0,7.846,5.4,211,88
38843,tt0493949,Ramona and Beezus,Ramona and Beezus,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2010-07-23,15000000,27293743,7.85,6.5,635,103
346646,tt4768764,베테랑,Veteran,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2015-08-05,7528230,87970000,7.852,7.0,125,119
172469,tt2388759,Love & Air Sex,Love & Air Sex,"[{'id': 35, 'name': 'Comedy'}]",2014-02-07,0,0,7.853,4.6,23,92
209415,tt2896036,Vivir es fácil con los ojos cerrados,Living Is Easy with Eyes Closed,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2013-10-31,0,0,7.853,6.7,121,108
484747,tt7502234,Les Chatouilles,Little Tickles,"[{'id': 18, 'name': 'Drama'}]",2018-11-14,0,0,7.853,7.5,242,103
381028,tt5116410,Tower,Tower,"[{'id': 16, 'name': 'Animation'}, {'id': 80, 'name': 'Crime'}, {'id': 99, 'name': 'Documentary'}]",2016-03-13,0,0,7.811,7.7,139,83
84111,tt2036416,那些年，我們一起追的女孩,You Are the Apple of My Eye,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2011-08-19,0,0,7.813,7.3,117,105
60534,tt1361835,Das letzte Schweigen,The Silence,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2010-08-13,0,0,7.814,6.5,91,120
501902,tt7901640,Gewoon vrienden,Just Friends,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2018-03-07,0,0,7.814,7.3,54,80
137182,tt2024519,The Broken Circle Breakdown,The Broken Circle Breakdown,"[{'id': 18, 'name': 'Drama'}]",2012-10-09,0,5475058,7.816,7.7,810,112
301875,tt3289728,Equals,Equals,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",2015-07-15,16000000,2084628,7.816,6.1,1112,101
447061,tt6582384,Red Nose Day Actually,Red Nose Day Actually,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2017-03-24,4000000,0,7.816,7.2,201,15
77461,tt1772424,وهلأ لوين؟‎,Where Do We Go Now?,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2011-09-14,21000000,6700000,7.817,7.5,138,110
491633,tt7728344,Marvel Rising: Secret Warriors,Marvel Rising: Secret Warriors,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 12, 'name': 'Adventure'}]",2018-09-30,0,0,7.819,6.9,59,80
45272,tt1555064,Country Strong,Country Strong,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",2010-12-22,15000000,20601987,7.82,6.4,186,117
319373,tt4298958,あん,Sweet Bean,"[{'id': 18, 'name': 'Drama'}]",2015-05-30,0,124518,7.82,7.4,322,113
329004,tt2580382,The Survivalist,The Survivalist,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2015-04-15,0,0,7.823,6.3,219,104
291351,tt3450900,The Sea of Trees,The Sea of Trees,"[{'id': 18, 'name': 'Drama'}]",2016-04-27,0,0,7.824,6.3,371,110
361018,tt3544014,Akron,Akron,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2015-10-06,0,0,7.824,7.3,108,88
91739,tt2094064,Much Ado About Nothing,Much Ado About Nothing,"[{'id': 35, 'name': 'Comedy'}]",2012-09-08,0,0,7.825,7.0,208,107
286654,tt3202890,Reclaim,Reclaim,"[{'id': 53, 'name': 'Thriller'}]",2014-09-19,0,0,7.826,5.3,109,96
535488,tt6090044,Romina,Romina,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2018-07-13,0,0,7.826,2.7,145,74
409447,tt5664684,Hairspray Live!,Hairspray Live!,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",2016-12-07,0,0,7.827,7.3,135,120
448916,tt4575328,2036 Origin Unknown,2036 Origin Unknown,"[{'id': 878, 'name': 'Science Fiction'}]",2018-06-08,0,0,7.827,4.7,161,94
475759,tt7387408,2048: Nowhere to Run,2048: Nowhere to Run,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",2017-09-14,0,0,7.827,6.9,211,6
594082,tt8354112,Mosul,Mosul,"[{'id': 99, 'name': 'Documentary'}]",2019-05-14,0,0,7.786,7.4,77,86
377154,tt4331970,Quand on a 17 ans,Being 17,"[{'id': 18, 'name': 'Drama'}]",2016-02-27,0,2000000,7.787,6.9,277,116
152748,tt2388637,Ain't Them Bodies Saints,Ain't Them Bodies Saints,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",2013-07-03,4000000,1031243,7.789,6.2,307,96
239877,tt3374966,La mafia uccide solo d'estate,The Mafia Kills Only in Summer,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",2013-11-28,0,0,7.789,7.4,943,90
404584,tt4961380,From a House on Willow Street,From a House on Willow Street,"[{'id': 27, 'name': 'Horror'}]",2017-03-24,0,0,7.789,4.8,130,90
349045,tt4840666,Looney Tunes: Rabbits Run,Looney Tunes: Rabbits Run,"[{'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",2015-08-04,0,0,7.792,5.6,26,73
542713,tt5700182,Starfish,Starfish,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",2019-03-14,0,0,7.792,5.8,94,101
199578,tt2147459,Patrick,Patrick,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2013-10-15,0,0,7.793,4.9,115,96
565719,tt9358044,Hail Satan?,Hail Satan?,"[{'id': 99, 'name': 'Documentary'}]",2019-04-17,0,0,7.793,7.1,91,95
356500,tt4372390,Detour,Detour,"[{'id': 53, 'name': 'Thriller'}]",2017-01-20,0,0,7.797,6.3,124,97
290999,tt2535470,Wyrmwood: Road of the Dead,Wyrmwood: Road of the Dead,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",2014-09-19,0,0,7.801,6.1,304,98
473902,tt6984258,The Amityville Murders,The Amityville Murders,"[{'id': 27, 'name': 'Horror'}]",2018-11-05,0,0,7.802,4.8,87,97
52338,tt1296898,Waiting for Forever,Waiting for Forever,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2010-02-10,0,0,7.803,5.9,231,94
278774,tt3544734,Zapped,Zapped,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2014-06-27,0,0,7.803,6.2,476,92
346671,tt2937366,Little Evil,Little Evil,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",2017-08-08,0,0,7.804,5.6,714,94
157099,tt1609479,Better Living Through Chemistry,Better Living Through Chemistry,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2014-03-14,5000000,75143,7.806,6.0,192,91
38540,tt1590950,Age of Heroes,Age of Heroes,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",2011-05-19,0,0,7.807,5.6,135,90
